Name	POS
서요	EP+EC
애호박	NNG
반달썰기	NNG
돌솥	NNG
담가서	VV+EC
맛없	VA
건져서	VV+EC
겉	NNG
흡수	NNG
으신	EP+ETM
등분	NNG
무친	VV+ETM
무를	VV+ETM
무나물	NNG
탱	MAG
글	NNG
오렌지	NNG
부드러울	VA+ETM
정	NNG
여주	NNG
댝	UNKNOWN
요번	NNG
시래기	NNG
봤	VX+EP
더니	EC
더라고요	EC
닮	VA
짱짱	MAG
시금치	NNG
데칠	VV+ETM
더운물	NNG
다섯	NR
숟갈	NNG
풋내	NNG
베	VV
햇살	NNG
캔디	NNG
떫	VA
십니다	EP+EF
담궈서	VV+EC
하이	IC
쓴	VV+ETM
담그	VV
스푼	NNG
검	VA
주의	NNG
죽인	VV+ETM
들깨	NNG
소다	NNG
버릴	VX+ETM
궜다	UNKNOWN
시든	VV+ETM
살아난	VV+ETM
려다	EC
우둔살	NNG
연하	VA
위해서	VV+EC
콜라	NNG
어떻게	MAG
후추	NNG
드신	VV+EP+ETM
드셔도	VV+EP+EC
미선	NNG
마구	MAG
부수	VV
부숴진	VV+ETM
뿌	VX
팩	NNG
뜨겁	VA
비빈다	VV+EC
모든	MM
이요	JX
걍	UNKNOWN
지나	EC
눌어붙	VV
한술	NNG
소쿠리	NNG
잠길	VV+ETM
사포닌	NNG
땜	NNB
첫물	NNG
아님	MAJ
끓여야	VV+EC
만큼	NNB
압력솥	NNG
명종	NNG
걸릴	VV+ETM
슈	EP+EC
플	VX+ETM
레스	NNP
전라도	NNP
에선	JKB+JX
칼국수	NNG
별미	NNG
계속	MAG
맛난	VA+ETM
반죽	NNG
지름	NNG
팥죽	NNG
별로	MAG
에게	JKB
저어야	VV+EC
아파요	VA+EF
튀	VV
오르	VV
조심	NNG
새알	NNG
겨울날	NNG
사쿠	NNP
떠오르	VV
팥빙수	NNP
활용	NNG
무척	MAG
익반죽	NNG
맞춘	VV+ETM
내린다	VV+EC
한꺼번에	MAG
송	NNP
각자	MAG
독	NNG
배변	NNG
옴아	NNG
모카	NNP
으깬	VV+ETM
오히려	MAJ
망	NNG
주무르	VV
단단	XR
쉬워요	VA+EF
해야지	VV+EC
거즈	NNG
삐져	VV+EC
나와요	VV+EF
둘째	NR
피클	NNG
텁텁	XR
느껴져요	VV+EC+VX+EF
오디	IC
으니깐	EC
여우	NNG
벗겨서	VV+EC
눈	NNG
맵	VA
찬밥	NNG
농도	NNG
맛술	NNG
영	NNG
양면	NNG
부침	NNG
바삭	MAG
님	XSN
에이엠	NNG
떠서	VV+EC
노릇노릇	MAG
지져	VV+EC
어차피	MAG
엄	IC
헝	MAG
힝	MAG
모둠	NNG
케일	NNG
치커리	NNG
비싸	VA
쑝쑝대왕비	UNKNOWN
촛물	NNG
갓	VA
농약	NNG
말끔히	MAG
포항	NNP
섬	NNG
해초	NNG
달달	MAG
헹군다	VV+EF
푸른	VA+ETM
선명	NNG
해져서	XSV+EC+VX+EC
음직	EC
성장기	NNG
헹구	VV
싱겁	VA
으실	EP+ETM
유리	NNG
